driver_id,age,vehicle_age_yrs,speeding_pct,harsh_braking_per100km,harsh_accel_per100km,cornering_per100km,night_driving_pct,phone_use_per_trip,max_speed_kmh,monthly_km,harsh_event_index,speed_risk_index,distraction_score,risk_score,risk_tier,is_high_risk
DRV-0099,26,10,0.1413,4.6,3.52,3.1,0.147,1.41,86.3,382,0.2127,0.1763,0.1762,1.0,Low,0
DRV-0100,20,0,0.1918,4.49,4.27,3.01,0.1119,2.71,123.0,128,0.2212,0.3417,0.3388,11.5,Low,0
DRV-0101,33,12,0.1405,6.5,5.63,3.49,0.1344,1.41,116.9,379,0.2936,0.2907,0.1762,53.6,Moderate,0
DRV-0102,41,1,0.1082,2.85,2.1,1.36,0.1313,1.27,89.9,110,0.1192,0.1716,0.1588,0.2,Low,0
DRV-0103,32,6,0.0092,3.3,3.62,5.67,0.0838,1.03,79.9,185,0.2397,0.0797,0.1288,0.3,Low,0
DRV-0104,50,2,0.1149,5.72,4.56,4.71,0.1122,2.32,98.2,278,0.2846,0.2064,0.29,29.9,Low,0
DRV-0105,44,14,0.2001,8.83,6.14,8.2,0.2107,2.3,127.0,353,0.4429,0.3613,0.2875,99.9,High,1
DRV-0106,40,8,0.0612,2.99,2.31,3.09,0.0825,0.92,82.8,228,0.1601,0.1192,0.115,0.0,Low,0
DRV-0107,44,5,0.1046,2.96,3.69,2.02,0.1382,1.59,85.3,194,0.1611,0.1524,0.1988,0.1,Low,0
DRV-0108,21,0,0.243,8.53,6.82,4.76,0.1835,2.08,139.4,410,0.3795,0.4314,0.26,99.9,High,1
DRV-0109,32,4,0.0573,3.97,2.63,1.74,0.0359,0.71,89.6,239,0.158,0.1425,0.0888,0.0,Low,0
DRV-0110,25,2,0.1559,8.23,4.86,3.88,0.205,2.7,119.5,181,0.3232,0.3089,0.3375,99.5,High,1
DRV-0111,42,5,0.009,2.75,2.4,6.28,0.1047,1.23,98.5,244,0.2206,0.1493,0.1538,0.2,Low,0
DRV-0112,25,2,0.1864,5.16,3.72,3.27,0.135,1.44,105.6,210,0.2306,0.2735,0.18,6.8,Low,0
DRV-0113,38,8,0.1278,4.97,3.83,3.9,0.1639,1.69,103.7,1511,0.2412,0.2342,0.2112,8.7,Low,0
DRV-0114,36,1,0.0,1.3,1.45,1.54,0.0801,1.65,93.8,249,0.081,0.1267,0.2062,0.0,Low,0
DRV-0115,45,1,0.0473,3.89,1.94,2.35,0.0867,0.88,103.2,79,0.1571,0.188,0.11,0.2,Low,0
DRV-0116,23,3,0.0,4.97,2.72,3.19,0.1049,1.16,107.3,545,0.2085,0.1774,0.145,0.8,Low,0
DRV-0117,43,1,0.0282,4.9,1.08,3.66,0.0491,0.33,103.5,140,0.1892,0.1786,0.0412,0.0,Low,0
DRV-0118,25,1,0.0314,9.11,3.63,2.83,0.1029,0.52,90.2,381,0.2993,0.1305,0.065,0.9,Low,0
DRV-0119,26,5,0.0827,4.63,3.59,2.85,0.166,2.34,90.6,296,0.2094,0.1602,0.2925,2.4,Low,0
DRV-0120,36,1,0.1805,3.45,3.49,4.4,0.1479,1.48,112.6,526,0.2152,0.2965,0.185,7.0,Low,0
DRV-0121,52,6,0.0084,3.47,5.39,1.89,0.0808,1.03,94.8,232,0.197,0.1351,0.1288,0.1,Low,0
DRV-0122,27,1,0.1343,3.49,5.21,2.36,0.0994,1.69,91.8,359,0.2038,0.1931,0.2112,0.8,Low,0
DRV-0123,18,10,0.1956,2.49,2.22,2.11,0.0695,0.87,103.3,426,0.129,0.27,0.1088,0.5,Low,0
DRV-0124,26,9,0.1491,3.89,2.84,1.94,0.0863,0.85,103.8,139,0.1639,0.2463,0.1062,0.2,Low,0
DRV-0125,33,0,0.0756,5.3,2.29,1.92,0.0817,1.93,82.4,141,0.1826,0.1256,0.2412,0.2,Low,0
DRV-0126,60,0,0.0,3.58,2.71,0.7,0.0789,0.64,94.9,150,0.1308,0.1309,0.08,0.0,Low,0
DRV-0127,42,8,0.1202,7.51,8.27,5.08,0.2,2.35,148.6,113,0.3896,0.3984,0.2938,99.9,High,1
DRV-0128,28,11,0.2195,8.45,8.69,5.82,0.2349,3.1,139.7,345,0.4302,0.4196,0.3875,100.0,High,1
DRV-0129,36,5,0.0,0.66,1.04,1.24,0.0695,0.46,80.2,267,0.0553,0.0758,0.0575,0.0,Low,0
DRV-0130,56,10,0.0638,3.96,3.39,4.33,0.1066,1.08,84.4,620,0.2223,0.1266,0.135,0.0,Low,0
DRV-0131,35,4,0.168,8.07,8.8,4.77,0.2043,1.95,147.5,390,0.4035,0.4205,0.2438,99.9,High,1
DRV-0132,35,5,0.105,4.44,3.58,3.32,0.1141,1.38,99.2,260,0.2149,0.2048,0.1725,0.1,Low,0
DRV-0133,33,4,0.1898,8.73,4.59,3.71,0.1526,2.85,99.8,340,0.3253,0.2536,0.3562,96.9,High,1
DRV-0134,46,4,0.0033,3.96,2.25,2.47,0.0831,1.23,99.1,192,0.1661,0.1484,0.1538,0.0,Low,0
DRV-0135,31,6,0.0,0.88,1.71,0.66,0.025,0.39,96.6,561,0.0593,0.1372,0.0488,0.0,Low,0
DRV-0136,48,1,0.0,0.25,7.74,0.77,0.0103,0.11,96.1,578,0.1494,0.1354,0.0138,0.3,Low,0
DRV-0137,50,7,0.0976,5.17,5.04,3.44,0.1451,1.63,96.9,143,0.2562,0.1921,0.2037,29.8,Low,0
DRV-0138,45,1,0.1845,2.61,3.54,7.41,0.0744,1.1,95.8,1304,0.2594,0.2357,0.1375,1.9,Low,0
DRV-0139,35,2,0.1109,4.07,4.74,5.82,0.1508,1.81,102.2,242,0.2768,0.2192,0.2262,31.9,Low,0
DRV-0140,21,7,0.0113,4.17,3.76,3.2,0.122,1.34,116.4,220,0.2101,0.2177,0.1675,0.4,Low,0
DRV-0141,35,2,0.0565,1.94,1.51,2.19,0.1041,1.18,94.3,393,0.1078,0.1597,0.1475,0.0,Low,0
DRV-0142,29,23,0.1114,3.66,3.32,1.99,0.0765,1.12,101.2,507,0.1683,0.2158,0.14,0.1,Low,0
DRV-0143,28,4,0.1393,6.99,6.42,4.2,0.155,1.51,124.5,441,0.3308,0.3185,0.1888,92.1,High,1
DRV-0144,35,12,0.1192,6.97,5.86,5.37,0.1952,2.46,107.5,214,0.3445,0.2437,0.3075,98.9,High,1
DRV-0145,43,7,0.199,8.78,2.87,2.77,0.1656,1.51,106.4,498,0.2788,0.2835,0.1888,14.7,Low,0
DRV-0146,30,2,0.113,8.22,8.22,4.49,0.2052,2.41,123.2,192,0.3912,0.2992,0.3012,100.0,High,1
DRV-0147,21,8,0.0901,2.4,1.94,2.41,0.1358,1.38,90.9,442,0.1285,0.1654,0.1725,0.0,Low,0
DRV-0148,26,2,0.0358,0.82,0.81,0.67,0.0375,0.56,82.4,1090,0.0433,0.1037,0.07,0.0,Low,0
DRV-0149,58,2,0.0474,0.98,1.44,1.28,0.0748,0.82,84.2,192,0.0692,0.1168,0.1025,0.0,Low,0
DRV-0150,44,19,0.2103,5.54,5.41,2.5,0.124,1.5,97.8,237,0.251,0.2574,0.1875,13.3,Low,0
DRV-0151,26,7,0.0836,2.13,2.06,1.17,0.0824,1.18,124.1,548,0.1003,0.2864,0.1475,1.4,Low,0
DRV-0152,53,1,0.0412,2.87,4.25,1.95,0.0655,0.85,113.4,745,0.1672,0.2229,0.1062,0.4,Low,0
DRV-0153,35,2,0.1021,3.72,1.03,2.68,0.0714,1.31,101.3,506,0.1452,0.211,0.1638,0.0,Low,0
DRV-0154,65,2,0.0,2.96,0.7,0.95,0.0285,0.28,78.4,216,0.0899,0.069,0.035,0.0,Low,0
DRV-0155,41,9,0.0382,5.21,1.42,1.98,0.0301,0.5,75.0,339,0.1675,0.0773,0.0625,0.0,Low,0
DRV-0156,44,4,0.0792,5.71,5.04,4.57,0.1403,1.6,113.3,291,0.2896,0.2434,0.2,93.1,High,1
DRV-0157,48,14,0.0,3.74,2.99,3.28,0.052,0.93,93.5,1479,0.1902,0.1256,0.1162,0.3,Low,0
DRV-0158,55,8,0.134,4.88,6.01,3.08,0.163,1.78,92.5,347,0.2594,0.1956,0.2225,15.6,Low,0
DRV-0159,32,5,0.0379,3.82,1.87,3.23,0.0827,0.28,89.4,406,0.1722,0.1311,0.035,0.0,Low,0
DRV-0160,54,3,0.0,6.15,2.53,2.25,0.1039,0.87,109.1,429,0.2102,0.1841,0.1088,0.2,Low,0
DRV-0161,30,7,0.0879,3.69,1.83,1.95,0.0663,1.24,66.4,391,0.1433,0.0723,0.155,0.0,Low,0
DRV-0162,33,2,0.0,0.32,0.54,1.16,0.0278,0.18,70.8,525,0.0386,0.0405,0.0225,0.0,Low,0
DRV-0163,38,1,0.1273,2.93,3.93,3.24,0.0519,1.9,106.3,167,0.1889,0.2436,0.2375,1.3,Low,0
DRV-0164,49,3,0.0004,0.9,0.98,3.63,0.0555,0.97,89.4,746,0.1069,0.1105,0.1212,0.0,Low,0
DRV-0165,34,8,0.0601,4.48,7.42,3.44,0.1383,1.46,98.8,141,0.2821,0.1786,0.1825,12.9,Low,0
DRV-0166,57,5,0.1662,5.83,5.73,4.32,0.2145,1.78,125.8,428,0.2985,0.3382,0.2225,95.7,High,1
DRV-0167,53,2,0.1906,10.79,8.92,5.82,0.2454,2.74,129.0,191,0.4809,0.3636,0.3425,100.0,High,1
DRV-0168,38,6,0.115,2.19,1.58,1.66,0.0443,0.66,86.0,337,0.1033,0.1608,0.0825,0.0,Low,0
DRV-0169,26,1,0.0178,4.93,0.72,0.57,0.1039,0.26,70.4,625,0.122,0.0488,0.0325,0.4,Low,0
DRV-0170,50,0,0.1575,7.34,4.79,4.14,0.2048,1.71,118.3,124,0.3094,0.3052,0.2138,98.3,High,1
DRV-0171,18,3,0.0995,2.64,3.14,1.64,0.1097,1.79,106.8,297,0.1379,0.2302,0.2238,0.3,Low,0
DRV-0172,46,3,0.0204,5.28,2.39,2.47,0.143,0.95,92.7,97,0.1948,0.1338,0.1188,0.7,Low,0
DRV-0173,28,4,0.1039,6.54,5.34,5.04,0.162,2.4,129.2,431,0.3206,0.3166,0.3,99.7,High,1
DRV-0174,53,6,0.1786,5.54,6.77,4.49,0.1776,1.88,114.6,194,0.3134,0.303,0.235,99.0,High,1
DRV-0175,21,2,0.0074,3.07,2.37,3.03,0.1451,1.37,109.7,435,0.1615,0.1904,0.1713,0.2,Low,0
DRV-0176,30,13,0.0681,7.91,4.22,5.52,0.1379,2.04,105.1,267,0.3389,0.2066,0.255,57.6,Moderate,0
DRV-0177,43,1,0.0728,9.36,1.13,0.98,0.071,0.75,103.8,798,0.2256,0.2043,0.0938,0.3,Low,0
DRV-0178,45,15,0.0516,0.72,1.13,1.75,0.0335,1.31,92.8,687,0.0682,0.1514,0.1638,0.0,Low,0
DRV-0179,30,1,0.0,2.77,1.43,1.37,0.0957,0.42,92.3,430,0.1066,0.1211,0.0525,0.0,Low,0
DRV-0180,34,5,0.09,5.02,4.46,3.35,0.173,1.77,112.4,618,0.2417,0.246,0.2212,25.3,Low,0
DRV-0181,49,0,0.0868,7.71,6.24,5.6,0.1449,1.51,106.6,1131,0.3702,0.2225,0.1888,84.3,High,1
DRV-0182,50,0,0.1737,4.43,6.81,2.18,0.0691,1.19,89.0,189,0.2457,0.2043,0.1488,1.2,Low,0
DRV-0183,33,2,0.0592,0.35,1.25,0.14,0.0075,0.25,84.2,739,0.0306,0.1233,0.0312,0.0,Low,0
DRV-0184,30,0,0.1297,5.99,6.1,3.94,0.1845,1.98,101.0,386,0.3003,0.2251,0.2475,95.5,High,1
DRV-0185,21,5,0.1266,3.2,2.92,3.34,0.083,1.62,93.8,229,0.1795,0.1964,0.2025,0.3,Low,0
DRV-0186,41,5,0.0,2.88,2.3,2.24,0.1045,0.99,86.2,531,0.1407,0.0982,0.1238,0.0,Low,0
DRV-0187,47,2,0.0,1.7,1.04,1.18,0.0205,0.1,88.8,378,0.0749,0.108,0.0125,0.0,Low,0
DRV-0188,39,2,0.0373,2.43,4.5,0.91,0.06,0.47,94.1,184,0.1418,0.1484,0.0588,0.0,Low,0
DRV-0189,26,2,0.2349,11.28,8.12,5.59,0.213,2.87,142.7,255,0.4727,0.4393,0.3588,100.0,High,1
DRV-0190,59,1,0.1221,5.38,4.06,6.83,0.1328,1.45,105.2,1186,0.3119,0.2367,0.1812,33.7,Low,0
DRV-0191,18,5,0.2484,8.19,7.02,5.84,0.2009,3.89,123.7,350,0.3976,0.3755,0.4862,99.8,High,1
DRV-0192,48,14,0.086,4.08,3.1,2.16,0.0957,1.84,81.0,1080,0.1765,0.126,0.23,0.0,Low,0
DRV-0193,40,1,0.1062,5.74,4.08,3.74,0.145,1.55,109.8,205,0.2576,0.2452,0.1938,19.6,Low,0
DRV-0194,43,0,0.1301,5.5,5.09,4.15,0.1494,2.46,130.6,254,0.2778,0.3363,0.3075,98.0,High,1
DRV-0195,28,12,0.1501,6.39,5.77,8.57,0.1772,1.87,119.3,102,0.3954,0.3049,0.2338,99.5,High,1
DRV-0196,36,5,0.146,6.15,4.78,5.09,0.1188,2.55,110.5,558,0.3045,0.2697,0.3188,39.1,Low,0
DRV-0197,41,6,0.1145,3.16,5.3,2.58,0.1197,1.12,100.5,442,0.2031,0.2148,0.14,0.3,Low,0
DRV-0198,36,5,0.202,10.48,5.95,5.76,0.1959,2.83,126.5,296,0.424,0.3605,0.3538,100.0,High,1
DRV-0199,18,3,0.0632,6.19,4.18,4.0,0.1169,1.88,122.6,215,0.2735,0.2695,0.235,27.0,Low,0
DRV-0200,58,1,0.0,1.84,3.0,1.93,0.0557,0.37,111.1,679,0.1254,0.1916,0.0462,0.0,Low,0
DRV-0201,45,13,0.03,0.93,1.47,0.78,0.0325,0.95,87.4,281,0.0587,0.1193,0.1188,0.0,Low,0
DRV-0202,38,3,0.277,6.94,5.55,4.58,0.1842,2.71,129.9,372,0.3229,0.4145,0.3388,99.9,High,1
DRV-0203,39,0,0.0757,2.34,2.38,1.54,0.0774,1.02,92.3,195,0.1173,0.1628,0.1275,0.0,Low,0
DRV-0204,58,3,0.0628,5.42,3.81,2.57,0.1104,1.33,98.7,296,0.2233,0.1797,0.1662,0.0,Low,0
DRV-0205,29,1,0.079,2.6,4.1,2.23,0.0701,0.67,93.5,389,0.1649,0.1691,0.0838,0.1,Low,0
DRV-0206,26,13,0.0,3.15,5.62,1.5,0.0861,1.19,89.3,211,0.1867,0.1099,0.1488,0.0,Low,0
